"Installation Name","Program Name","Installation type","Year Energized",GeoCode,Address,City,State,Zip,"Project Status","Utility Name","Project Developer or Owner","Project Capacity KW-AC","System Size Category","LMI Share of Capacity","LMI Project Capacity KW-AC","LMI Requirement","Utility Type","Regulatory Structure","Energy Rate Average","Energy Rate Category","Community Solar Bill Credit Value","Community Solar Enabling Legislation","Value of State Level RECs & Subsidies","Eligible for Tax Benefits","LMI Customer Savings (category)","LMI Customer Savings %","Minimum LMI Savings Mandated","Potential # LMI Subscribers"
"Potomac Place Condominiums","DC Solar for All",Roof,2019,"-77.01657665451675,38.88077214186462","355 I Street Southwest, 350 G St SW",Washington,"District of Columbia",20024,Operational,"Potomac Electric Power Company (Pepco) DC","Greenscape Environmental Services",200,"Less than 500 KW",100.00,200.00,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100.00,Yes,80
"Power52 Foundation - Clarksville","Maryland Community Solar Pilot Program",Ground,2022,"-76.96201076575652,39.223977055164895","5545 Broadwater Lane",Clarksville,Maryland,21029,Planned,"Baltimore Gas and Electric (BGE)",,1999,na,51,1019,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,408
"Power52 Foundation - West Friendship","Maryland Community Solar Pilot Program",Ground,2022,"-76.96533102622732,39.30620290971377","12855 Frederick Road","West Friendship",Maryland,21794,Planned,"Baltimore Gas and Electric (BGE)",,1990,"500 KW to 1,999 KW",51,1015,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,406
"Progressive National Baptist Convention","DC Solar for All",Roof,2016,"-76.92899416681232,38.89720441008727","601 50th St NE",Washington,"District of Columbia",20019,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",70,"Less than 500 KW",100,70,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,28
"Quincy II Solar Garden LLC","Solar Rewards Community CO",Ground,2018,"-104.658131,39.636553","28102 E. Quincy Ave",Aurora,Colorado,80138,Operational,"Public Service Company of Colorado (PSCo)",SunShare,1537,"500 KW to 1,999 KW",5,85,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Low = less than 20%",6,No,34
"Quittacus Solar LLC",SMART,Ground,2022,"-70.89407529072491,41.67967246555049","88-56 Wing Ln",Acushnet,Massachusetts,02743,Planned,Eversource,"Hurricane Hill Development Company PLLC",62,"Less than 500 KW",51,31,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,13
"Ramp A Community Solar","Cooperative Energy Futures Community Solar Garden",Roof,2019,"-93.27855442637568,44.979084450792115","101 N 9th St",Minneapolis,Minnesota,55403,Operational,"Xcel Energy","Cooperative Energy Futures",1031,"500 KW to 1,999 KW",37,780,Carve-out,"Investor-owned utility (IOU)",Regulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Value of Solar","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",6,No,90
"Randolph Apartments","DC Solar for All",Roof,2021,"-77.03401610172858,38.93896327654159","3900 14th St NW",Washington,"District of Columbia",20011,Operational,"Potomac Electric Power Company (Pepco) DC","Greenscape Environmental Services",300,"Less than 500 KW",100,300,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,120
"Rays Up Community Solar Project","Colorado Energy Office LICSG Pilot",Ground,2022,"-106.857451,40.505198","221 Elk River Road","Steamboat Springs",Colorado,80487,Planned,"Yampa Valley Electric Association (YVEA)","GRID Alternatives",154,"Less than 500 KW",100,154,"Income eligible only","Cooperative utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",No,"High = greater than 50%",50,No,62
"Red Prairie Solar","Oregon Shines",Ground,2021,"-123.422807,45.086360","30295 Mill Creek Rd",Sheridan,Oregon,97378,Planned,"Portland Gas and Electric (PGE)","RP PM",2200,"More than 2 MW",10,220,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,88
"Rhode Island Row Community Solar","DC Solar for All",Mixed,2020,"-76.99491573547857,38.92120159669378","2300 Washington Pl NE",Washington,"District of Columbia",20018,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",763,"500 KW to 1,999 KW",100,763,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,300
"Ridgecrest Village Apartments","DC Solar for All",Roof,2021,"-76.97497691780598,38.84790815085885","2000 Ridgecrest Ct SE",Washington,"District of Columbia",20020,Operational,"Potomac Electric Power Company (Pepco) DC","NEO, LLC",2200,"More than 2 MW",100,2200,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,880
"Rifle Airport","Holy Cross Energy Income-qualified community solar",Ground,2011,"-107.738978,39.524839","375 Co Rd 352",Rifle,Colorado,81650,Operational,"Holy Cross Energy (HCE)","GRID Alternatives",145,"Less than 500 KW",100,145,"Income eligible only","Cooperative utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",30,No,58
"Riverside Thompson SCEF Installation","Shared Clean Energy Facilities Program",Ground,2020,"-71.88430958486003,41.94392969093922",,Thompson,Connecticut,,Operational,Eversource,"CHIP Fund 5, LLC",1538,"500 KW to 1,999 KW",10,154,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.23,"High = more than $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Low = less than 10% of value stack",Yes,"Low = less than 20%",10,No,62
"Roanoke Electric Cooperative Solar Installation",As,Ground,2015,"-77.03434991128383,36.30710050260513","518 NC-561",Aulander,"North Carolina",27805,Operational,"Roanoke Electric Cooperative (REC)","The Roanoke Center",100,"Less than 500 KW",25.00,25.00,"Income eligible only","Cooperative utility",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Low = less than 10% of value stack",No,"High = greater than 50%",100.00,No,10
"Roaring Fork Valley","Holy Cross Energy Income-qualified community solar",Ground,2014,"-106.904952,39.635921","132 Buckhorn Valley Blvd,",Gypsum,Colorado,81637,Operational,"Holy Cross Energy (HCE)","Clean Energy Collective (CEC)",1400,"500 KW to 1,999 KW",100,1400,"Income eligible only","Cooperative utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",30,No,560
"Round Lake Solar","Oregon Shines",Ground,2021,"-121.906706,42.127567","Weyerhaeuser Timber Company Rd","Klamath Falls",Oregon,97621,Planned,"Pacific Power","Round Lake PM LLC",978,"500 KW to 1,999 KW",10,98,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,39
"RPMA Solar 1, LLC",SMART,Ground,2022,"-70.61276009180244,41.83216827560501",,Plymouth,Massachusetts,02535,Planned,"Eversource MA East","RPMA Solar 1, LLC",900,"500 KW to 1,999 KW",51,459,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,184
"Sackett Lake","Solar For All (NY-Sun)",Ground,2019,"-74.733338,41.637271","S Maplewood Rd",Thompson,"New York",12701,Operational,"New York State Electric and Gas Corporation (NYSEG)","Delaware River Solar",2800,"More than 2 MW",38,1064,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.18,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,Yes,426
"San Luis Solar Garden LLC","Solar Rewards Community CO",Ground,2017,"-106.027209,37.063280","37980 State Highway 17",Antonito,Colorado,81120,Operational,"Public Service Company of Colorado (PSCo)",Community Energy Solar,1153,"500 KW to 1,999 KW",5,58,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,23
"San Miguel Power Association Community Solar Project","Colorado Energy Office LICSG Pilot",Ground,2017,"-108.29174811466125,38.13070734913284",,Norwood,Colorado,81423,Operational,"San Miguel Power Association, Inc.","GRID Alternatives",197,"Less than 500 KW",100,197,"Income eligible only","Cooperative utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",No,"Moderate = 20% to 50%",27,No,79
"Sandy River Solar (Dunn Rd.)","Oregon Shines",Ground,2021,"-122.295124,45.431425","SE Dunne Rd",Sandy,Oregon,97055,Planned,"Portland Gas and Electric (PGE)","SR PM, LLC",1850,"500 KW to 1,999 KW",10,185,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,74
"Sargent Memorial Presbyterian Church ","DC Solar for All",Roof,2021,"-76.92680717882162,38.89811873831639","5109 Nannie Helen Burroughs Ave NE",Washington,"District of Columbia",20019,Operational,"Potomac Electric Power Company (Pepco) DC",Groundswell,220,"Less than 500 KW",25,55,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,22
"Savannah Heights Apartments (AHD)","DC Solar for All",Mixed,2020,"-77.0008364684141,38.84167416861016","251 Savannah St SE",Washington,"District of Columbia",20032,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",210,"Less than 500 KW",100,210,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,84
"Savoy Court","DC Solar for All",Roof,2016,"-77.004470265803,38.84818000665724","210 Oakwood St SE",Washington,"District of Columbia",20032,Operational,"Potomac Electric Power Company (Pepco) DC","Flywheel Development",170,"Less than 500 KW",100,170,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,68
"Sesqui-C Solar","Oregon Shines",Ground,2021,"-123.176747,45.327145","15000 Highway 47",Yamhill,Oregon,97148,Planned,"Portland Gas and Electric (PGE)","Conifer Community Energy 3",2500,"More than 2 MW",10,250,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,100
"SGC Power, LLC - Hancock","Maryland Community Solar Pilot Program",Ground,2022,"-78.07561905785228,39.70738293943245","14455 Weller Road ",Hancock,Maryland,21750,Planned,"Potomac Edison",,2000,"More than 2 MW",30,600,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,240
"SGC Power, LLC - Upper Marlboro","Maryland Community Solar Pilot Program",Ground,2022,"-76.70749108760805,38.88079079482033","16900 Claggett Landing Rd","Upper Marlboro",Maryland,20774,Planned,"Baltimore Gas and Electric (BGE)",,1625,"500 KW to 1,999 KW",30.00,488.00,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25.00,No,195
"Shared Solar - GNDC Jeremiah Program Moody Campus","Multifamily Shared Solar Pilot Program",Roof,2018,"-97.703471,30.269325","1200 Paul Teresa Saldana St",Austin,Texas,78702,Operational,"Austin Energy",guadalupe-neighborhood-development-corporation,44,"Less than 500 KW",100,44,"Income eligible only","Municipally-owned utility",Deregulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Value of Solar","No enabling legislation, but projects exist","Low = less than 10% of value stack",No,"Moderate = 20% to 50%",45,No,35
"Shepherd's Mill (Union Bridge)","Shepherd's Mill Community Solar Project",Ground,2021,"-77.17681886224307,39.56914461348501",,"Carrol County",Maryland,,Operational,"Potomac Edison","Ogos Energy LLC",4000,"More than 2 MW",30,1200,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,480
"Shiloh Temple International Ministries","Cooperative Energy Futures Community Solar Garden",Roof,2018,"-93.29656861111644,44.99886930826743","1201 W Broadway Ave",Minneapolis,Minnesota,55411,Operational,"Xcel Energy","Cooperative Energy Futures",200,"Less than 500 KW",40,120,Carve-out,"Investor-owned utility (IOU)",Regulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Value of Solar","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",6,No,48
"Skyward Solar","Nautilus Solar",Ground,2022,"-122.282168,45.418761","37071 SE Kelso Road",Boring,Oregon,97009,Planned,"Portland Gas and Electric (PGE)","Nautilus Solar",2500,"More than 2 MW",10,250,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,100
"SLD - 1 Costco Dr, System A","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.46037233357988,40.36007964754838","1 Costco Drive,",Monroe,"New Jersey",08831,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",3846,"More than 2 MW",51,1962,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,785
"SLD - 1001 New
Hampshire Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.19449684464631,40.05887818410248","1001 New
Hampshire Avenue",Lakewood,"New Jersey",08701,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",1192,"500 KW to 1,999 KW",51,608,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,243
"SLD - 11 Corn Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.49283673357957,40.365348633191964","11 Corn Road","South Brunswick","New Jersey",08810,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",2962,"More than 2 MW",51,1510,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,604
"SLD - 1100 Towbin Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.19124250290783,40.05651794354317","1100 Towbin Avenue",Lakewood,"New Jersey",08701,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",549,"500 KW to 1,999 KW",51,280,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,112
"SLD - 1101
Corporate Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.48829002192981,40.461414220335236","1101 Corporate Road"," North Brunswick","New Jersey",08902,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",854,"500 KW to 1,999 KW",51,435,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,174
"SLD - 1110-1170 NJ
Route 36","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.17984994773984,40.43302316600233","1110-1170 NJ
Route 36",Hazlet,"New Jersey",07730,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",616,"500 KW to 1,999 KW",51,314,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,126
"SLD - 1112 Corporate Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.49139431269202,40.46095015333156","1112 Corporate Road, North"," North Brunswick","New Jersey",08902,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",535,"500 KW to 1,999 KW",51,273,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,109
"SLD - 1175 NJ Route
10","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.4399563089834,40.83259610034354","1175 NJ Route 10",Whippany,"New Jersey",07981,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",372,"Less than 500 KW",51,190,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,76
"SLD - 1205 Paco Way","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.18495465000886,40.05600933678583","1205 Paco Way",Lakewood,"New Jersey",08701,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",671,"500 KW to 1,999 KW",51,342,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,137
"SLD - 1300 Wheaton Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-75.03365160200235,39.410165222960636","1300 Wheaton Avenue",Millville,"New Jersey",08332,Planned,Atlantic City Electric,"Solar Landscape",2800,"More than 2 MW",51,1428,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,571
"SLD - 1401 Wheaton Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-75.03021174895531,39.409092868951525","1401 Wheaton Avenue",Millville,"New Jersey",08332,Planned,Atlantic City Electric,"Solar Landscape",2977,"More than 2 MW",51,1518,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,607
"SLD - 1695 Oak St","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.18758421194022,40.06016577371928","1695 Oak Street",Lakewood,"New Jersey",08701,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",415,"Less than 500 KW",51,212,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,85
"SLD - 1705 Oak St","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.18656670820904,40.06004972330184","1705 Oak Street",Lakewood,"New Jersey",08701,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",415,"Less than 500 KW",51,212,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,85
"SLD - 18 Engelhard Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.2593837151488,40.593177685494915","18 Engelhard Avenue",Avenel,"New Jersey",07001,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",931,"500 KW to 1,999 KW",51,475,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,190
"SLD - 2 Corporate Pl S","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.45326240658507,40.55018355322734","2 Corporate Pl S",Piscataway,"New Jersey",08854,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",1438,"500 KW to 1,999 KW",51,734,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,293
"SLD - 2540 NJ Route
516","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.32535218484932,40.404909303428425","2540 NJ Route
516","Old Bridge","New Jersey",08857,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",470,"Less than 500 KW",51,240,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,96
"SLD - 277 US Highway
46","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.35606535465408,40.857993006771615","277 US Highway
46","Parsippany-Troy Hills","New Jersey",07054,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",325,"Less than 500 KW",51,166,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,66
"SLD - 2870
Brunswick Pike","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.71146256557961,40.26964149559212","2870 Brunswick Pike",Lawrence,"New Jersey",08648,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",738,"500 KW to 1,999 KW",51,376,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,150
"SLD - 2990 NJ Route
66","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.05934253302351,40.2296180972716","2990 NJ Route 66",Neptune,"New Jersey",07753,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",459,"Less than 500 KW",51,234,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,94
"SLD - 30 Park Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.08031854401412,40.2874561718182","30 Park Rd","Tinton Falls","New Jersey",07724,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",207,"Less than 500 KW",51,106,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,42
"SLD - 303 Ridge Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.49410851639036,40.371740179375514","303 Ridge Road",Dayton,"New Jersey",08810,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",607,"500 KW to 1,999 KW",51,310,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,124
"SLD - 307 E Hanover Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.46033487484205,40.806099853611336","307 E Hanover Avenue",Morristown,"New Jersey",07960,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",458,"Less than 500 KW",51,234,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,94
"SLD - 317 NJ Route 37 E","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.17533858471285,39.95872803181391","317 NJ Route 37 E","Toms River","New Jersey",08753,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",332,"Less than 500 KW",51,169,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,68
"SLD - 3403 NJ Route
33","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.07557360459924,40.20935812422982","3403 NJ Route 33",Neptune,"New Jersey",07753,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",612,"500 KW to 1,999 KW",51,312,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,125
"SLD - 46 Park Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.08150244338127,40.28681840009574","46 Park Rd","Tinton Falls","New Jersey",07724,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",599,"500 KW to 1,999 KW",51,306,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,122
"SLD - 501
Cheesequake Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.31502962491017,40.45066484163704","501 Cheesequake
Road",Parlin,"New Jersey",08859,Planned,"Jersey Central Power and Light (JCP&L)","Solar Landscape",375,"Less than 500 KW",51,191,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,77
"SLD - 535 Secaucus Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.06555933553,40.77638966489727","535 Secaucus Road",Secaucus,"New Jersey",07094,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",428,"Less than 500 KW",51,218,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,87
